id,year,sport,medal_type
412,1976,Water Polo Men's Water Polo,Silver
413,1900,Rugby Men's Rugby,Gold
414,1900,Sailing Mixed 1-2 Ton,Silver
415,1900,Sailing Mixed 1-2 Ton,Bronze
416,1960,Football Men's Football,Bronze
417,2012,Handball Women's Handball,Bronze
418,1920,"Gymnastics Men's Team All-Around, Free System",Gold
419,1948,"Athletics Men's 10,000 metres",Bronze
420,1968,Rowing Men's Coxless Fours,Bronze
421,2008,"Wrestling Men's Lightweight, Greco-Roman",Gold
422,1924,Rowing Men's Coxless Fours,Bronze
423,1924,Rowing Men's Coxed Fours,Gold
424,1980,"Speed Skating Women's 1,000 metres",Bronze
425,2002,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze
426,1976,Sailing Mixed Two Person Keelboat,Gold
427,1952,Figure Skating Women's Singles,Silver
428,1956,Figure Skating Women's Singles,Gold
429,1936,Athletics Men's High Jump,Silver
430,1960,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
431,1996,Football Men's Football,Bronze
432,1976,Boxing Men's Light-Welterweight,Silver
433,1980,Boxing Men's Welterweight,Gold
434,1920,"Cycling Men's Team Pursuit, 4,000 metres",Silver
435,1920,Cycling Men's 50 kilometres,Silver
436,1924,Cycling Men's 50 kilometres,Silver
437,1928,Athletics Men's 4 x 400 metres Relay,Gold
438,1952,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
439,2008,Hockey Men's Hockey,Silver
440,2008,Hockey Men's Hockey,Silver
441,2012,Sailing Women's Two Person Dinghy,Gold
442,2016,Sailing Women's Two Person Dinghy,Silver
443,2000,Athletics Men's Discus Throw,Gold
444,2004,Athletics Men's Discus Throw,Gold
445,2008,Athletics Men's Discus Throw,Bronze
446,1976,Ice Hockey Men's Ice Hockey,Gold
447,1980,Weightlifting Men's Middle-Heavyweight,Silver
448,1960,Ice Hockey Men's Ice Hockey,Bronze
449,1964,Ice Hockey Men's Ice Hockey,Gold
450,1968,Ice Hockey Men's Ice Hockey,Gold
451,1984,Bobsleigh Men's Two,Bronze
452,1976,Rowing Women's Coxed Quadruple Sculls,Silver
453,1980,Rowing Women's Double Sculls,Gold
454,2012,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
455,2016,"Wrestling Men's Heavyweight, Greco-Roman",Gold
456,1972,Weightlifting Men's Super-Heavyweight,Gold
457,1976,Weightlifting Men's Super-Heavyweight,Gold
458,1964,Diving Women's Platform,Bronze
459,2012,Water Polo Men's Water Polo,Bronze
460,2016,Water Polo Men's Water Polo,Gold
461,1996,Basketball Women's Basketball,Silver
462,2000,Basketball Women's Basketball,Bronze
463,1932,"Fencing Men's Foil, Team",Bronze
464,1932,Rowing Men's Coxless Fours,Silver
465,2012,Football Men's Football,Silver
466,1908,Lacrosse Men's Lacrosse,Silver
467,1996,Synchronized Swimming Women's Team,Silver
468,1960,"Fencing Men's epee, Team",Silver
469,2000,Rowing Women's Coxed Eights,Bronze
470,1984,Judo Men's Half-Lightweight,Bronze
471,1988,Judo Men's Lightweight,Gold
472,2008,Football Men's Football,Bronze
473,2012,Football Men's Football,Silver
474,1980,"Wrestling Men's Light-Flyweight, Greco-Roman",Silver
475,1972,Boxing Men's Heavyweight,Silver
476,1976,Diving Men's Platform,Bronze
477,1980,Diving Men's Platform,Silver
478,2000,"Shooting Men's Air Rifle, 10 metres",Bronze
479,2016,Taekwondo Men's Heavyweight,Silver
480,1976,Athletics Women's Long Jump,Bronze
481,1992,Football Men's Football,Gold
482,1984,Basketball Men's Basketball,Gold
483,1924,Football Men's Football,Bronze
484,2006,Ice Hockey Men's Ice Hockey,Gold
485,2014,Ice Hockey Men's Ice Hockey,Silver
486,1912,Sailing Mixed 12 metres,Bronze
487,1948,Basketball Men's Basketball,Bronze
488,1960,Basketball Men's Basketball,Bronze
489,1994,Ice Hockey Men's Ice Hockey,Gold
490,2012,"Equestrianism Mixed Three-Day Event, Individual",Silver
491,1984,Hockey Men's Hockey,Gold
492,2016,Athletics Women's 100 metres Hurdles,Silver
493,1928,Hockey Men's Hockey,Gold
494,1964,Hockey Men's Hockey,Gold
495,1920,Athletics Men's 4 x 100 metres Relay,Silver
496,1972,"Wrestling Men's Light-Flyweight, Greco-Roman",Silver
497,1908,"Fencing Men's epee, Individual",Gold
498,1908,"Fencing Men's epee, Team",Gold
499,2000,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
500,2004,"Shooting Men's Rapid-Fire Pistol, 25 metres",Bronze
501,1980,Biathlon Men's 10 kilometres Sprint,Silver
502,1980,Biathlon Men's 4 x 7.5 kilometres Relay,Gold
503,2012,Handball Men's Handball,Bronze
504,2004,Football Women's Football,Silver
505,2004,Shooting Men's Trap,Gold
506,2008,Shooting Men's Trap,Bronze
507,1906,Gymnastics Men's Rope Climbing,Gold
508,2012,Beach Volleyball Men's Beach Volleyball,Silver
509,2016,Beach Volleyball Men's Beach Volleyball,Gold
510,2004,Athletics Men's 4 x 100 metres Relay,Bronze
511,2008,Rhythmic Gymnastics Women's Group,Gold
512,2016,Taekwondo Women's Featherweight,Bronze
513,1920,"Archery Men's Target Archery, 28 metres, Team",Silver
514,1920,"Archery Men's Target Archery, 33 metres, Team",Gold
515,1920,"Archery Men's Target Archery, 50 metres, Team",Gold
516,1992,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze
517,1936,Alpine Skiing Men's Combined,Bronze
518,2000,Boxing Men's Light-Welterweight,Bronze
519,1984,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
520,1992,Freestyle Skiing Men's Moguls,Silver
521,1984,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Bronze
522,1988,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Silver
523,1900,Football Men's Football,Silver
524,1972,Sailing Mixed Three Person Keelboat,Gold
525,1996,Baseball Men's Baseball,Bronze
526,2004,Triathlon Women's Olympic Distance,Gold
527,2000,Hockey Women's Hockey,Gold
528,2016,Athletics Men's 4 x 400 metres Relay,Silver
529,2000,Basketball Men's Basketball,Gold
530,1928,Hockey Men's Hockey,Gold
531,1932,Hockey Men's Hockey,Gold
532,1936,Hockey Men's Hockey,Gold
533,1964,Figure Skating Men's Singles,Bronze
534,1920,Polo Men's Polo,Bronze
535,2004,Rowing Men's Coxed Eights,Gold
536,2008,Rowing Men's Coxed Eights,Bronze
537,2000,Softball Women's Softball,Bronze
538,2004,Softball Women's Softball,Silver
539,2008,Softball Women's Softball,Bronze
540,2000,Modern Pentathlon Women's Individual,Bronze
541,1920,Sailing Mixed 12 metres,Gold
542,1912,"Rowing Men's Coxed Fours, Inriggers",Gold
543,2012,Athletics Men's 4 x 400 metres Relay,Bronze
