id,year,sport,medal_type
35582,2014,Freestyle Skiing Women's Aerials,Gold
35583,2004,"Wrestling Men's Super-Heavyweight, Greco-Roman",Silver
35584,1960,Gymnastics Men's Team All-Around,Gold
35585,1960,Gymnastics Men's Pommelled Horse,Bronze
35586,1964,Gymnastics Men's Individual All-Around,Silver
35587,1964,Gymnastics Men's Team All-Around,Gold
35588,1964,Gymnastics Men's Parallel Bars,Silver
35589,1964,Gymnastics Men's Pommelled Horse,Silver
35590,1928,Swimming Men's 200 metres Breaststroke,Gold
35591,1932,Swimming Men's 200 metres Breaststroke,Gold
35592,1960,Sailing Mixed One Person Dinghy,Silver
35593,1956,Athletics Men's Javelin Throw,Bronze
35594,1960,Athletics Men's Javelin Throw,Gold
35595,1996,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
35596,1972,Ice Hockey Men's Ice Hockey,Gold
35597,1976,Ice Hockey Men's Ice Hockey,Gold
35598,2000,Trampolining Women's Individual,Silver
35599,2004,Handball Women's Handball,Bronze
35600,1992,Boxing Men's Heavyweight,Bronze
35601,2008,Hockey Men's Hockey,Silver
35602,1920,Gymnastics Men's Team All-Around,Gold
35603,1908,"Fencing Men's Sabre, Team",Bronze
35604,1988,Handball Men's Handball,Gold
35605,2000,Handball Men's Handball,Gold
35606,2004,Handball Men's Handball,Bronze
35607,1920,Ice Hockey Men's Ice Hockey,Silver
35608,1928,Bobsleigh Men's Four/Five,Gold
35609,1996,"Fencing Men's Foil, Team",Bronze
35610,1996,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
35611,2000,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
35612,1972,Rowing Men's Coxed Pairs,Bronze
35613,1976,Rowing Women's Coxed Quadruple Sculls,Bronze
35614,1972,Handball Men's Handball,Bronze
35615,1976,Handball Men's Handball,Silver
35616,1998,Ice Hockey Women's Ice Hockey,Gold
35617,2002,Ice Hockey Women's Ice Hockey,Silver
35618,1896,Athletics Men's Triple Jump,Silver
35619,2000,Rowing Men's Double Sculls,Silver
35620,2004,Rowing Men's Single Sculls,Gold
35621,2008,Rowing Men's Single Sculls,Gold
35622,2016,Rowing Men's Double Sculls,Bronze
35623,1912,Football Men's Football,Silver
35624,1996,Gymnastics Women's Team All-Around,Bronze
35625,2004,Table Tennis Men's Doubles,Bronze
35626,2016,Rugby Sevens Women's Rugby Sevens,Silver
35627,2016,Rugby Sevens Men's Rugby Sevens,Gold
35628,2006,Speed Skating Men's Team Pursuit (8 laps),Bronze
35629,2010,"Speed Skating Men's 1,500 metres",Gold
35630,2010,Speed Skating Men's Team Pursuit (8 laps),Bronze
35631,2012,Sailing Men's Skiff,Silver
35632,2016,Sailing Men's Skiff,Gold
35633,1936,Gymnastics Men's Team All-Around,Bronze
35634,2016,Boxing Men's Heavyweight,Bronze
35635,1912,Gymnastics Men's Team All-Around,Silver
35636,1956,"Cycling Men's Road Race, Team",Bronze
35637,1984,Athletics Men's Pole Vault,Silver
35638,1992,"Athletics Women's 10,000 metres",Gold
35639,2000,"Athletics Women's 10,000 metres",Gold
35640,2004,"Athletics Women's 10,000 metres",Bronze
35641,1996,Boxing Men's Light-Middleweight,Bronze
35642,2008,Rhythmic Gymnastics Women's Group,Bronze
35643,2012,Rhythmic Gymnastics Women's Group,Silver
35644,1968,"Athletics Men's 1,500 metres",Bronze
35645,1956,Swimming Men's 200 metres Butterfly,Bronze
35646,2016,Athletics Men's 400 metres Hurdles,Silver
35647,1976,Judo Men's Lightweight,Bronze
35648,1912,Gymnastics Men's Team All-Around,Gold
35649,2008,Sailing Women's One Person Dinghy,Gold
35650,1932,"Wrestling Men's Middleweight, Freestyle",Bronze
35651,1988,Basketball Women's Basketball,Bronze
35652,1936,"Athletics Men's 3,000 metres Steeplechase",Silver
35653,2010,Ice Hockey Women's Ice Hockey,Bronze
35654,2010,Ice Hockey Women's Ice Hockey,Bronze
35655,1988,Ice Hockey Men's Ice Hockey,Silver
35656,1980,"Athletics Men's 3,000 metres Steeplechase",Bronze
35657,1964,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
35658,1968,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
35659,1948,"Fencing Men's Sabre, Team",Silver
35660,1976,Handball Women's Handball,Gold
35661,1980,Handball Women's Handball,Gold
35662,1988,Handball Women's Handball,Bronze
35663,2002,"Short Track Speed Skating Men's 1,000 metres",Bronze
35664,2002,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
35665,2006,"Short Track Speed Skating Men's 5,000 metres Relay",Silver
35666,2008,Handball Women's Handball,Silver
35667,2000,Trampolining Men's Individual,Bronze
35668,1920,"Gymnastics Men's Team All-Around, Free System",Gold
35669,1968,Gymnastics Women's Team All-Around,Gold
35670,1972,Gymnastics Women's Individual All-Around,Gold
35671,1972,Gymnastics Women's Team All-Around,Gold
35672,1972,Gymnastics Women's Floor Exercise,Silver
35673,1972,Gymnastics Women's Horse Vault,Bronze
35674,1976,Gymnastics Women's Individual All-Around,Bronze
35675,1976,Gymnastics Women's Team All-Around,Gold
35676,1976,Gymnastics Women's Floor Exercise,Silver
35677,1976,Gymnastics Women's Horse Vault,Silver
35678,2004,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Silver
35679,1924,Rugby Men's Rugby,Gold
35680,1952,Sailing Mixed 6 metres,Bronze
35681,1952,"Canoeing Men's Canadian Doubles, 10,000 metres",Gold
35682,1988,"Wrestling Men's Welterweight, Greco-Roman",Silver
35683,1992,"Wrestling Men's Middleweight, Greco-Roman",Bronze
35684,2016,Weightlifting Men's Super-Heavyweight,Bronze
35685,1908,Hockey Men's Hockey,Bronze
35686,2000,Sailing Men's Two Person Dinghy,Gold
35687,1920,Tennis Men's Doubles,Gold
35688,1908,Hockey Men's Hockey,Bronze
35689,1908,Lacrosse Men's Lacrosse,Gold
35690,1988,Tennis Women's Doubles,Bronze
35691,2016,Rugby Sevens Women's Rugby Sevens,Gold
35692,1992,Short Track Speed Skating Women's 500 metres,Gold
35693,1992,"Short Track Speed Skating Women's 3,000 metres Relay",Silver
35694,1994,Short Track Speed Skating Women's 500 metres,Gold
35695,1994,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze
35696,1948,Rowing Men's Coxed Eights,Gold
35697,1980,Gymnastics Women's Team All-Around,Silver
35698,2012,Hockey Men's Hockey,Bronze
35699,1948,Rowing Men's Coxed Eights,Gold
35700,1964,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
35701,2008,"Shooting Men's Air Pistol, 10 metres",Bronze
35702,1984,Basketball Men's Basketball,Gold
35703,1984,Athletics Women's 100 metres Hurdles,Bronze
35704,1984,Rowing Men's Coxed Eights,Gold
35705,1900,Football Men's Football,Gold
35706,1972,Boxing Men's Bantamweight,Bronze
35707,1968,Cycling Men's Sprint,Silver
35708,1948,"Art Competitions Mixed Music, Compositions For Orchestra",Gold
35709,1984,"Cycling Men's Team Pursuit, 4,000 metres",Gold
35710,1988,"Fencing Women's Foil, Team",Bronze
35711,2008,"Wrestling Men's Welterweight, Freestyle",Bronze
35712,2016,Gymnastics Women's Team All-Around,Silver
35713,1992,Ice Hockey Men's Ice Hockey,Silver
35714,1904,Water Polo Men's Water Polo,Silver
35715,1904,Swimming Men's 4 x 50 Yard Freestyle Relay,Silver
35716,1932,"Equestrianism Men's Dressage, Individual",Bronze
35717,1932,"Equestrianism Men's Dressage, Team",Bronze
35718,1948,"Art Competitions Mixed Music, Compositions For Orchestra",Silver
35719,1920,Athletics Men's Triple Jump,Gold
35720,1924,Athletics Men's Triple Jump,Bronze
35721,1928,Athletics Men's Triple Jump,Bronze
35722,2016,Rugby Sevens Men's Rugby Sevens,Gold
35723,2002,Ice Hockey Men's Ice Hockey,Bronze
35724,1936,Sailing Mixed 6 metres,Silver
35725,1976,Rowing Men's Coxless Fours,Silver
35726,2008,Rowing Men's Coxless Pairs,Bronze
35727,1904,Football Men's Football,Gold
35728,2012,Gymnastics Women's Uneven Bars,Bronze
35729,2012,Hockey Women's Hockey,Bronze
35730,2016,Hockey Women's Hockey,Gold
35731,1984,"Cycling Women's Road Race, Individual",Silver
35732,1992,"Cycling Women's Individual Pursuit, 3,000 metres",Bronze
35733,2016,Archery Men's Team,Bronze
35734,1968,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
35735,1972,Cross Country Skiing Men's 30 kilometres,Silver
35736,1972,Cross Country Skiing Men's 50 kilometres,Gold
35737,1972,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
35738,1976,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
35739,1896,Athletics Men's Pole Vault,Silver
35740,1956,Bobsleigh Men's Four,Bronze
35741,1996,Softball Women's Softball,Gold
35742,1948,Bobsleigh Men's Four,Gold
35743,1972,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
35744,1996,Cycling Women's Points Race,Bronze
35745,2016,Modern Pentathlon Men's Individual,Silver
35746,1988,Rhythmic Gymnastics Women's Individual,Bronze
35747,1992,Rhythmic Gymnastics Women's Individual,Gold
35748,1948,"Art Competitions Mixed Literature, Lyric Works",Gold
35749,1960,Biathlon Men's 20 kilometres,Silver
35750,1908,Gymnastics Men's Individual All-Around,Silver
35751,1980,Rowing Men's Coxed Eights,Bronze
35752,1956,Athletics Women's Shot Put,Gold
35753,1988,"Fencing Men's epee, Team",Bronze
35754,1956,"Fencing Men's Sabre, Team",Bronze
35755,1900,Athletics Men's 800 metres,Gold
35756,1900,"Athletics Men's 5,000 metres, Team",Gold
35757,2000,Athletics Women's 20 kilometres Walk,Silver
35758,2008,Athletics Women's 20 kilometres Walk,Silver
35759,1952,Rowing Men's Single Sculls,Gold
35760,1956,Rowing Men's Double Sculls,Gold
35761,1960,Rowing Men's Double Sculls,Silver
35762,2004,Weightlifting Men's Middle-Heavyweight,Bronze
35763,2008,"Wrestling Men's Lightweight, Greco-Roman",Bronze
35764,1984,Ice Hockey Men's Ice Hockey,Gold
35765,1988,Handball Men's Handball,Gold
35766,1964,Rowing Men's Double Sculls,Gold
35767,1972,Volleyball Women's Volleyball,Gold
35768,1964,Athletics Women's 100 metres,Gold
35769,1964,Athletics Women's 4 x 100 metres Relay,Silver
35770,1968,Athletics Women's 100 metres,Gold
35771,1968,Athletics Women's 4 x 100 metres Relay,Gold
35772,1996,Hockey Women's Hockey,Silver
35773,1988,Athletics Men's Discus Throw,Silver
35774,1992,Athletics Men's Discus Throw,Gold
35775,2008,Gymnastics Men's Individual All-Around,Silver
35776,2008,Gymnastics Men's Team All-Around,Silver
35777,2012,Gymnastics Men's Individual All-Around,Gold
35778,2012,Gymnastics Men's Team All-Around,Silver
35779,2012,Gymnastics Men's Floor Exercise,Silver
35780,2016,Gymnastics Men's Individual All-Around,Gold
35781,2016,Gymnastics Men's Team All-Around,Gold
35782,2004,Judo Men's Half-Lightweight,Gold
35783,2008,Judo Men's Half-Lightweight,Gold
35784,1968,Hockey Men's Hockey,Gold
35785,2008,Gymnastics Men's Pommelled Horse,Silver
35786,2016,Football Men's Football,Bronze
35787,2000,Athletics Men's 4 x 400 metres Relay,Gold
35788,2004,Athletics Men's 4 x 400 metres Relay,Bronze
35789,1952,Weightlifting Men's Bantamweight,Gold
35790,2004,Water Polo Men's Water Polo,Silver
35791,2008,Water Polo Men's Water Polo,Bronze
35792,2012,Water Polo Men's Water Polo,Bronze
35793,1980,Water Polo Men's Water Polo,Bronze
35794,2012,Swimming Women's 4 x 100 metres Medley Relay,Bronze
35795,2004,Baseball Men's Baseball,Bronze
35796,1998,Short Track Speed Skating Men's 500 metres,Bronze
35797,1976,Judo Men's Open Class,Gold
35798,2004,Judo Women's Middleweight,Gold
35799,2008,Judo Women's Middleweight,Gold
35800,2012,Judo Women's Half-Middleweight,Bronze
35801,2004,Softball Women's Softball,Bronze
35802,2008,Softball Women's Softball,Gold
35803,1952,Gymnastics Men's Floor Exercise,Silver
35804,1952,Gymnastics Men's Horse Vault,Bronze
35805,1964,"Wrestling Men's Bantamweight, Freestyle",Gold
35806,1968,"Wrestling Men's Bantamweight, Freestyle",Gold
35807,1996,"Fencing Women's epee, Team",Silver
35808,2000,Handball Men's Handball,Bronze
35809,2008,Boxing Men's Lightweight,Bronze
35810,1984,Athletics Men's 4 x 400 metres Relay,Bronze
35811,1912,Athletics Men's Pole Vault,Bronze
35812,1924,Modern Pentathlon Men's Individual,Bronze
35813,1960,Basketball Men's Basketball,Silver
35814,1980,"Equestrianism Mixed Dressage, Individual",Bronze
35815,1980,"Equestrianism Mixed Dressage, Team",Gold
35816,1980,Football Men's Football,Silver
35817,1976,Handball Women's Handball,Silver
35818,1980,Handball Women's Handball,Bronze
35819,1924,"Fencing Men's Sabre, Team",Silver
35820,2002,"Ski Jumping Men's Large Hill, Team",Gold
35821,2010,"Ski Jumping Men's Large Hill, Team",Silver
35822,2016,Rowing Men's Coxed Eights,Bronze
35823,2012,Athletics Men's High Jump,Gold
35824,1976,"Wrestling Men's Bantamweight, Greco-Roman",Gold
35825,1956,Ice Hockey Men's Ice Hockey,Gold
35826,1992,Baseball Men's Baseball,Gold
35827,1996,Baseball Men's Baseball,Gold
35828,2000,Baseball Men's Baseball,Silver
35829,1988,"Ski Jumping Men's Large Hill, Team",Silver
35830,1972,Figure Skating Mixed Pairs,Gold
35831,2016,Weightlifting Men's Light-Heavyweight,Bronze
35832,1976,Volleyball Men's Volleyball,Silver
35833,1968,Rowing Men's Coxed Eights,Gold
35834,1952,Rowing Men's Coxed Fours,Bronze
35835,2008,"Canoeing Men's Canadian Doubles, 500 metres",Silver
35836,1998,Ice Hockey Women's Ice Hockey,Gold
35837,1936,Football Men's Football,Bronze
35838,1956,Hockey Men's Hockey,Bronze
35839,1936,"Shooting Men's Rapid-Fire Pistol, 25 metres",Bronze
35840,1936,"Shooting Men's Free Pistol, 50 metres",Gold
35841,1948,"Shooting Men's Free Pistol, 50 metres",Bronze
35842,1980,Football Men's Football,Silver
35843,1976,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
35844,1980,Biathlon Men's 10 kilometres Sprint,Gold
35845,1980,Biathlon Men's 20 kilometres,Silver
35846,1980,Biathlon Men's 4 x 7.5 kilometres Relay,Silver
35847,2000,"Cycling Men's Road Race, Individual",Gold
35848,2000,Cycling Men's Individual Time Trial,Silver
35849,2000,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
35850,2004,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
35851,2004,"Cycling Women's Individual Pursuit, 3,000 metres",Gold
35852,1976,Rowing Men's Coxed Pairs,Gold
35853,1980,Rowing Men's Coxed Pairs,Gold
35854,1996,Boxing Men's Light-Heavyweight,Bronze
35855,2010,Curling Men's Curling,Silver
35856,1980,Judo Men's Middleweight,Bronze
35857,1988,Cross Country Skiing Men's 30 kilometres,Bronze
35858,1992,Cross Country Skiing Men's 10 kilometres,Gold
35859,1992,Cross Country Skiing Men's 30 kilometres,Gold
35860,1992,Cross Country Skiing Men's 10/15 kilometres Pursuit,Silver
35861,1992,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
35862,1994,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
35863,1952,Athletics Men's 800 metres,Bronze
35864,1952,Athletics Men's 4 x 400 metres Relay,Bronze
35865,2000,"Wrestling Men's Lightweight, Freestyle",Gold
35866,1980,Rowing Women's Coxed Eights,Silver
35867,2016,Football Men's Football,Bronze
35868,2016,Football Men's Football,Bronze
35869,1988,"Cycling Men's Individual Pursuit, 4,000 metres",Gold
35870,1988,"Cycling Men's Team Pursuit, 4,000 metres",Gold
35871,1988,"Cycling Men's Team Pursuit, 4,000 metres",Gold
35872,1956,"Shooting Men's Free Pistol, 50 metres",Silver
35873,1960,"Shooting Men's Free Pistol, 50 metres",Silver
35874,1984,Boxing Men's Light-Welterweight,Silver
35875,2000,Football Men's Football,Silver
35876,2012,"Wrestling Women's Heavyweight, Freestyle",Bronze
35877,1904,"Athletics Men's 4 mile, Team",Gold
35878,1992,Rowing Men's Quadruple Sculls,Silver
35879,1996,Rowing Men's Double Sculls,Silver
35880,1972,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
35881,1972,Swimming Men's 4 x 100 metres Medley Relay,Silver
35882,1964,Football Men's Football,Bronze
35883,1976,Gymnastics Women's Team All-Around,Silver
35884,1976,Gymnastics Women's Uneven Bars,Silver
35885,1976,Gymnastics Women's Balance Beam,Bronze
35886,2012,Judo Men's Half-Lightweight,Silver
35887,2016,Archery Women's Individual,Silver
35888,2012,Hockey Women's Hockey,Bronze
35889,2016,Hockey Women's Hockey,Gold
35890,1972,"Cycling Men's Team Pursuit, 4,000 metres",Silver
35891,1980,"Cycling Men's Team Pursuit, 4,000 metres",Silver
35892,1932,Gymnastics Men's Team All-Around,Bronze
35893,1936,Gymnastics Men's Team All-Around,Bronze
35894,1988,"Equestrianism Mixed Dressage, Individual",Gold
35895,1988,"Equestrianism Mixed Dressage, Team",Gold
35896,1992,"Equestrianism Mixed Dressage, Individual",Gold
35897,1992,"Equestrianism Mixed Dressage, Team",Gold
35898,2010,Bobsleigh Women's Two,Silver
35899,1904,Tug-Of-War Men's Tug-Of-War,Silver
35900,1900,Water Polo Men's Water Polo,Silver
35901,2012,"Cycling Men's Road Race, Individual",Silver
35902,2012,Boxing Men's Light-Welterweight,Bronze
35903,1956,"Canoeing Men's Kayak Doubles, 10,000 metres",Gold
35904,1964,Football Men's Football,Silver
35905,1932,"Wrestling Men's Heavyweight, Greco-Roman",Silver
35906,1932,Rowing Men's Coxed Fours,Bronze
35907,1964,Football Men's Football,Bronze
35908,1920,"Fencing Men's epee, Team",Gold
35909,1920,"Fencing Men's Sabre, Team",Gold
35910,2000,Rowing Women's Coxed Eights,Bronze
35911,1980,Hockey Women's Hockey,Silver
35912,1952,Gymnastics Women's Team All-Around,Gold
35913,1952,Gymnastics Women's Team Portable Apparatus,Silver
35914,1996,Handball Men's Handball,Bronze
35915,2000,Handball Men's Handball,Bronze
35916,1996,Handball Men's Handball,Bronze
35917,2000,Handball Men's Handball,Bronze
35918,1924,Football Men's Football,Gold
35919,1928,Football Men's Football,Gold
35920,1972,Basketball Men's Basketball,Bronze
35921,2004,Baseball Men's Baseball,Gold
35922,2008,Baseball Men's Baseball,Silver
35923,1988,Volleyball Men's Volleyball,Bronze
35924,1988,Volleyball Women's Volleyball,Silver
35925,1948,"Equestrianism Men's Jumping, Individual",Silver
35926,1948,"Equestrianism Men's Jumping, Team",Gold
35927,1996,Boxing Men's Light-Welterweight,Silver
35928,1994,Figure Skating Men's Singles,Gold
35929,2016,Judo Men's Extra-Lightweight,Bronze
35930,1992,Baseball Men's Baseball,Gold
35931,2000,Weightlifting Women's Heavyweight,Gold
35932,2004,Baseball Men's Baseball,Gold
35933,1960,Swimming Women's 200 metres Breaststroke,Silver
35934,1964,"Cycling Men's Individual Pursuit, 4,000 metres",Silver
35935,2012,Rowing Men's Lightweight Double Sculls,Bronze
35936,1996,Gymnastics Men's Pommelled Horse,Silver
35937,2000,Gymnastics Men's Pommelled Horse,Gold
35938,2004,Gymnastics Men's Team All-Around,Bronze
35939,2004,Gymnastics Men's Pommelled Horse,Silver
35940,1932,Hockey Men's Hockey,Silver
35941,2012,Trampolining Men's Individual,Silver
35942,2000,Volleyball Men's Volleyball,Silver
35943,2004,Volleyball Men's Volleyball,Bronze
35944,1980,"Fencing Women's Foil, Team",Silver
35945,1980,"Wrestling Men's Light-Flyweight, Greco-Roman",Gold
35946,1996,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
35947,2012,Boxing Men's Heavyweight,Gold
35948,2000,Water Polo Men's Water Polo,Bronze
35949,2008,Handball Women's Handball,Silver
35950,1992,Figure Skating Mixed Ice Dancing,Bronze
35951,1994,Figure Skating Mixed Ice Dancing,Silver
35952,1960,Hockey Men's Hockey,Bronze
35953,1996,Hockey Men's Hockey,Silver
35954,2008,Football Men's Football,Gold
35955,1964,Swimming Women's 4 x 100 metres Medley Relay,Bronze
35956,1992,Rowing Women's Quadruple Sculls,Bronze
35957,1992,Swimming Women's 4 x 100 metres Medley Relay,Silver
35958,1936,Rowing Men's Double Sculls,Bronze
35959,2010,Biathlon Men's 15 kilometres Mass Start,Gold
35960,2010,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
35961,2014,Biathlon Men's 4 x 7.5 kilometres Relay,Gold
35962,2016,Water Polo Women's Water Polo,Bronze
35963,2000,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
35964,1984,Athletics Men's 4 x 400 metres Relay,Bronze
35965,1936,Swimming Men's 400 metres Freestyle,Silver
35966,1936,"Swimming Men's 1,500 metres Freestyle",Bronze
35967,1992,Athletics Women's 4 x 100 metres Relay,Bronze
35968,1964,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze
35969,2000,Softball Women's Softball,Silver
35970,2004,Softball Women's Softball,Bronze
35971,1964,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
35972,1932,Cross Country Skiing Men's 18 kilometres,Gold
35973,2004,Baseball Men's Baseball,Silver
35974,1972,Bobsleigh Men's Two,Gold
35975,1972,Bobsleigh Men's Four,Bronze
35976,1976,Bobsleigh Men's Four,Bronze
35977,1980,Athletics Men's Triple Jump,Gold
35978,2006,Curling Men's Curling,Silver
35979,1956,Ice Hockey Men's Ice Hockey,Gold
35980,2012,Football Men's Football,Silver
35981,1984,Ice Hockey Men's Ice Hockey,Silver
35982,2002,"Speed Skating Men's 1,500 metres",Silver
35983,2002,"Speed Skating Men's 5,000 metres",Gold
35984,2002,"Speed Skating Men's 10,000 metres",Gold
35985,1912,"Shooting Men's Running Target, Single Shot, Team",Bronze
35986,2014,Ice Hockey Men's Ice Hockey,Bronze
35987,1984,Rowing Women's Coxed Eights,Bronze
35988,1998,Ice Hockey Women's Ice Hockey,Bronze
35989,1976,"Cycling Men's 1,000 metres Time Trial",Silver
35990,1984,"Fencing Women's Foil, Individual",Bronze
35991,1988,"Fencing Women's Foil, Team",Silver
35992,1992,"Fencing Women's Foil, Team",Gold
35993,1924,Gymnastics Men's Rings,Bronze
35994,1924,Gymnastics Men's Rope Climbing,Bronze
35995,1928,Gymnastics Men's Team All-Around,Silver
35996,1928,Gymnastics Men's Parallel Bars,Gold
35997,1928,Gymnastics Men's Rings,Silver
35998,1980,Football Men's Football,Gold
35999,1948,Boxing Men's Lightweight,Bronze
36000,1912,"Gymnastics Men's Team All-Around, Swedish System",Silver
36001,1960,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze
36002,1964,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze
36003,2002,Curling Men's Curling,Gold
36004,1984,"Fencing Men's epee, Individual",Silver
36005,1912,"Gymnastics Men's Team All-Around, Free System",Silver
36006,1988,Athletics Men's 4 x 400 metres Relay,Bronze
36007,1988,Sailing Mixed Two Person Keelboat,Gold
36008,1976,"Equestrianism Mixed Jumping, Individual",Silver
36009,2006,Ice Hockey Women's Ice Hockey,Gold
36010,2010,Ice Hockey Women's Ice Hockey,Gold
36011,1984,Cycling Men's Sprint,Silver
36012,1996,Basketball Men's Basketball,Bronze
36013,2004,"Canoeing Men's Canadian Singles, 1,000 metres",Bronze
36014,2008,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
36015,1964,Weightlifting Men's Bantamweight,Gold
36016,2000,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
36017,1948,"Equestrianism Men's Dressage, Team",Bronze
36018,1992,Cross Country Skiing Women's 5 kilometres,Bronze
36019,1992,Cross Country Skiing Women's 15 kilometres,Bronze
36020,1992,Cross Country Skiing Women's 30 kilometres,Bronze
36021,1992,Cross Country Skiing Women's 5/10 kilometres Pursuit,Bronze
36022,1992,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
36023,1994,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
36024,1998,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
36025,1924,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",Bronze
36026,1998,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
36027,2006,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
36028,2006,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze
36029,2014,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze
36030,1980,Volleyball Men's Volleyball,Silver
36031,1960,"Wrestling Men's Lightweight, Freestyle",Bronze
36032,1964,"Wrestling Men's Lightweight, Freestyle",Gold
36033,1968,"Wrestling Men's Lightweight, Freestyle",Silver
36034,2016,Rowing Women's Double Sculls,Bronze
36035,1948,"Fencing Men's Foil, Team",Bronze
36036,1920,Hockey Men's Hockey,Bronze
36037,1972,Athletics Women's 4 x 100 metres Relay,Bronze
36038,1992,Baseball Men's Baseball,Gold
36039,1980,"Equestrianism Mixed Jumping, Team",Bronze
36040,1948,"Equestrianism Men's Jumping, Team",Gold
36041,1972,Boxing Men's Welterweight,Bronze
36042,1952,Basketball Men's Basketball,Silver
36043,1956,Basketball Men's Basketball,Silver
36044,1960,Basketball Men's Basketball,Silver
36045,1992,Archery Women's Individual,Bronze
36046,1992,Archery Women's Team,Bronze
36047,2016,Boxing Women's Flyweight,Bronze
36048,2002,Freestyle Skiing Men's Aerials,Gold
36049,1952,Rowing Men's Coxless Fours,Gold
36050,2016,Cycling Women's Team Pursuit,Silver
36051,2016,Weightlifting Women's Heavyweight,Bronze
36052,1924,Rugby Men's Rugby,Gold
36053,1904,Athletics Men's 800 metres,Silver
36054,1904,"Athletics Men's 4 mile, Team",Gold
36055,1920,"Equestrianism Men's Jumping, Individual",Silver
36056,1996,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
36057,2008,Volleyball Women's Volleyball,Gold
36058,1972,"Fencing Men's epee, Team",Bronze
36059,1928,"Wrestling Men's Featherweight, Greco-Roman",Gold
36060,1936,"Wrestling Men's Lightweight, Greco-Roman",Bronze
36061,2010,Ice Hockey Women's Ice Hockey,Bronze
36062,1980,Athletics Men's 4 x 400 metres Relay,Gold
36063,1956,Athletics Men's Long Jump,Bronze
36064,1936,Athletics Women's 80 metres Hurdles,Gold
36065,2016,Archery Men's Individual,Silver
36066,1920,Football Men's Football,Silver
36067,1964,Boxing Men's Middleweight,Bronze
36068,2000,Baseball Men's Baseball,Silver
36069,1948,Swimming Men's 100 metres Backstroke,Bronze
36070,2016,"Equestrianism Mixed Three-Day Event, Team",Gold
36071,1960,"Cycling Men's Team Pursuit, 4,000 metres",Gold
36072,1988,Athletics Men's 4 x 400 metres Relay,Gold
36073,1992,Athletics Men's 4 x 400 metres Relay,Gold
36074,2012,Judo Men's Half-Middleweight,Bronze
36075,1964,Football Men's Football,Silver
36076,1952,"Fencing Men's epee, Team",Bronze
36077,1984,Figure Skating Mixed Pairs,Gold
36078,1988,Figure Skating Mixed Pairs,Silver
36079,1960,Basketball Men's Basketball,Silver
36080,1900,Sailing Mixed 0.5-1 Ton,Silver
36081,1900,Sailing Mixed 0.5-1 Ton,Bronze
36082,1980,Gymnastics Men's Team All-Around,Bronze
36083,1952,Ice Hockey Men's Ice Hockey,Silver
36084,2012,Sailing Women's One Person Dinghy,Bronze
36085,1992,Swimming Women's 100 metres Freestyle,Bronze
36086,1992,Swimming Women's 200 metres Freestyle,Silver
36087,1992,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
36088,1992,Swimming Women's 4 x 100 metres Medley Relay,Silver
36089,1996,Swimming Women's 200 metres Freestyle,Silver
36090,1996,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
36091,1996,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
36092,2000,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
36093,2004,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
